"300","Diespeck","49.6","10.6333","diespeck"
"301","Essing","48.9333","11.7833","essing"
"302","Steinhöring bei München","48.0833","12.0333","steinh-ring-bei-m-nchen"
"303","Fischen im Allgäu","47.45","10.2667","fischen-im-allg-u"
"304","Westerkappeln","52.3167","7.88333","westerkappeln"
"305","Ering","48.3","13.15","ering"
"306","Witten","51.4333","7.33333","witten"
"307","Dohren, Emsl","52.65","7.58333","dohren-emsl"
"308","Kronach, Oberfranken","50.2333","11.3167","kronach-oberfranken"
"309","Neusorg im Fichtelgebirge","49.9333","11.9667","neusorg-im-fichtelgebirge"
"310","Kißlegg","47.7833","9.88333","ki-legg"
"311","Ulsnis","54.573","9.74563","ulsnis"
"312","Peiting","47.8","10.9333","peiting"
"313","Erftstadt","50.8167","6.76667","erftstadt"
"314","Grattersdorf","48.8","13.15","grattersdorf"
"315","Auhausen, Schwaben","49.0167","10.6333","auhausen-schwaben"
"316","Gusow-Platkow","52.5777","14.34","gusow-platkow"
"317","Völpke","52.1333","11.1","v-lpke"
"318","Legau","47.85","10.1333","legau"
"319","Hebertsfelden","48.4","12.8167","hebertsfelden"
"320","Halle (Westfalen)","52.0667","8.36667","halle-westfalen"
"321","Querfurt","51.3833","11.6","querfurt"
"322","Aidenbach, Niederbayern","48.5667","13.1","aidenbach-niederbayern"
"323","Altheim bei Riedlingen (Württemberg)","48.15","9.45","altheim-bei-riedlingen-w-rttemberg"
"324","Wangerland","53.6489","7.94989","wangerland"
"325","Oberschneiding","48.8","12.65","oberschneiding"
"326","Rinchnach","48.95","13.2","rinchnach"
"327","Mannheim, Universitätsstadt","49.4883","8.46472","mannheim-universit-tsstadt"
"328","Lauterbach (Schwarzwald)","48.2333","8.35","lauterbach-schwarzwald"
"329","Dauchingen","48.0833","8.55","dauchingen"
"330","Bartenshagen-Parkentin","54.0833","11.9667","bartenshagen-parkentin"
"331","Aumühle bei Hamburg","53.5282","10.3136","aum-hle-bei-hamburg"
"332","Wirfus","50.2","7.2","wirfus"
"333","Enger, Westfalen","52.1333","8.56667","enger-westfalen"
"334","Olfen, Westfalen","51.7","7.4","olfen-westfalen"
"335","Wustrow (Wendland)","52.9167","11.1167","wustrow-wendland"
"336","Wietzendorf","52.9167","9.98333","wietzendorf"
"337","Seelze","52.4","9.6","seelze"
"338","Niederkrüchten","51.2","6.21667","niederkr-chten"
"339","Thalmässing, Mittelfranken","49.0881","11.2231","thalm-ssing-mittelfranken"
"340","Briesen, Niederlausitz","51.8167","14.25","briesen-niederlausitz"
"341","Atting bei Straubing","48.9","12.4833","atting-bei-straubing"
"342","Bockhorn, Oberbayern","48.3167","11.9833","bockhorn-oberbayern"
"343","Zierow","53.9274","11.3777","zierow"
"344","Mudenbach","50.6667","7.73333","mudenbach"
"345","Regensburg","49.015","12.0956","regensburg"
"346","Asperg","48.9","9.11667","asperg"
"347","Geroldsgrün","50.3333","11.6","geroldsgr-n"
"348","Niederwerth","50.4","7.61667","niederwerth"
